Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
960;0;-55.9269;-4.76548;-101.192;11.9031;7064.21;7.12852;0;0;1.21684e-27;0.01;0;5.64714;102;0;-1
960;1;-53.0698;-21.8762;-94.1401;10.3012;4578.83;6.26123;0;0;0.1;0.01;0;3.86808;0;944;-1
960;2;-44.1246;-18.0546;-109.703;10.2761;4545.39;6.14699;0;0;4.77887e-18;0.01;0;2.86171;101;606;-1
960;3;-39.3323;-0.472493;-109.637;10.0304;4227.15;6.12351;0;0;0.1;0.01;0;3.85175;0;476;-1
960;1993;74.8825;-42.0879;66.9136;9.50076;3592.22;5.84005;0;0;0.1;0.01;0;4.70838;0;0;-1
960;5;-24.6458;-39.9243;-101.239;11.5688;6485.67;6.8284;0;0;5.63603e-36;0.01;0;3.41956;102;0;-1
960;6;-26.4676;-19.2426;-86.9547;12.2546;7708.8;7.27724;0;0;3.71351e-27;0.01;0;6.97692;102;0;-1
960;7;-13.3942;-13.8827;-100.147;9.87293;4031.13;6.05994;0;0;0.1;0.01;0;6.1852;0;398;-1
960;2175;86.7132;-43.7155;-30.6339;8.29471;2390.52;5.04763;0;0;0.1;0.01;0;5.7557;0;0;-1
960;2173;5.76332;-33.4207;121.167;8.34646;2435.54;5.0827;0;0;0.1;0.01;0;2.15225;0;0;-1
960;10;-0.615241;-59.1104;-93.2511;12.8458;8879.25;7.67537;0;0;5.13128e-19;0.01;0;5.68778;102;572;-1
960;2095;29.4407;17.0338;-45.9887;2.90124;102.291;2.44867;0;0;2.34599e-08;0.01;0;6.52728;100;770;-1
960;12;-10.2352;-16.2593;-81.8347;10.0178;4211.23;6.13076;0;0;0.0441547;0.01;0;8.06387;101;924;-1
960;13;0.818237;0.616536;-108.05;2.81974;93.9105;2.3508;0;0;1.20115e-08;0.01;0;5.87549;100;614;-1
960;14;-4.99668;18.7003;-97.85;12.6459;8471.08;7.59158;0;0;7.46699e-18;0.01;0;6.03031;101;0;-1
960;15;1.02259;54.3058;-89.9917;10.4881;4832.64;6.38663;0;0;0.00399297;0.01;0;5.80313;101;0;-1
960;16;14.7777;-33.6852;-112.38;11.7806;6848.45;7.1217;0;0;4.53781e-11;0.01;0;3.12671;101;748;-1
960;17;0.499126;-9.55432;-107.725;8.69256;2751.26;5.35152;0;0;0.1;0.01;0;5.98699;0;734;-1
960;18;3.07045;1.9595;-97.0585;9.96548;4145.56;6.10745;0;0;0.1;0.01;0;6.91128;0;406;-1
960;19;5.41744;9.94377;-112.483;9.93645;4109.44;6.09985;0;0;0.1;0.01;0;3.38585;0;0;-1
960;20;6.13387;28.1203;-113.346;12.1152;7448.76;7.19568;0;0;1.63322e-28;0.01;0;2.63259;102;0;-1
960;21;40.2939;48.8678;-94.8518;9.19945;3261.17;5.65706;0;0;0.1;0.01;0;4.44868;0;0;-1
960;22;30.1816;-60.28;-100.283;9.95267;4129.59;5.90159;0;0;1.77074e-26;0.01;0;4.88747;102;436;-1
960;23;32.5448;-44.4493;-112.407;12.4736;8129.47;7.50965;0;0;8.09573e-16;0.01;0;3.45416;101;0;-1
960;2196;-4.20002;18.4788;-41.3086;8.22131;2327.62;4.99019;0;0;0.1;0.01;0;7.15246;0;0;-1
960;2206;94.0197;60.363;-12.732;8.21547;2322.66;4.98152;0;0;0.1;0.01;0;4.61864;1;0;-1
960;26;30.0478;39.5499;-105.516;9.99875;4187.22;6.11461;0;0;0.1;0.01;0;3.77395;0;406;-1
960;1902;46.0529;67.503;-60.3514;9.72829;3856.54;5.96084;0;0;0.1;0.01;0;9.08582;0;0;-1
960;1945;18.886;-65.7495;-52.3805;9.62093;3730.27;5.92979;0;0;0.1;0.01;0;7.83564;0;626;-1
960;29;46.0881;-28.5186;-104.698;12.2458;7692.16;7.30871;0;0;8.44354e-26;0.01;0;4.95391;102;0;-1
960;2160;58.0442;59.395;35.7272;8.41102;2492.49;5.13126;0;0;0.1;0.01;0;7.57278;0;0;-1
960;31;39.9256;12.0485;-92.07;9.32413;3395.58;5.46798;0;0;3.06855e-40;0.01;0;4.66924;102;0;-1
960;32;42.6275;32.7402;-96.4656;8.74728;2803.54;5.37671;0;0;0.1;0.01;0;4.77535;0;0;-1
960;33;-82.4101;-7.50526;-81.896;11.6053;6547.21;6.85267;0;0;8.8063e-36;0.01;0;3.12474;102;0;-1
960;2063;57.1817;-49.2236;40.6404;9.15362;3212.68;5.62635;0;0;0.1;0.01;0;5.59363;0;0;-1
960;35;-73.9018;-24.5885;-78.4025;9.94844;4124.34;5.90941;0;0;5.40387e-26;0.01;0;5.27245;102;0;-1
960;36;-69.1123;-15.3355;-92.4636;9.59169;3696.36;5.88647;0;0;0.1;0.01;0;4.04612;0;564;-1
960;37;-71.8704;1.24733;-94.1053;9.48432;3573.61;5.83911;0;0;0.1;0.01;0;3.51375;0;566;-1
960;38;-59.6593;28.3163;-97.6637;12.3242;7840.9;7.34562;0;0;8.44354e-26;0.01;0;3.38933;102;394;-1
960;2079;44.1528;26.4162;-22.7374;9.01496;3068.88;5.53369;0;0;0.1;0.01;0;6.19979;0;790;-1
960;40;-59.3599;-58.3899;-82.8824;12.2253;7653.65;7.26118;0;0;1.63322e-28;0.01;0;4.61289;102;388;-1
960;41;-44.2017;-37.585;-74.1401;10.1259;4348.97;6.17021;0;0;0.1;0.01;0;7.13671;0;422;-1
960;42;-50.3773;-11.0152;-91.8936;1.75871;22.7861;1.70379;0;0;5.56334e-17;0.01;0;7.5705;100;0;-1
960;43;-49.175;-3.0279;-81.0506;11.8832;7028.92;7.08389;0;0;3.18988e-28;0.01;0;6.8635;102;0;-1
960;44;-50.6779;13.0384;-106.462;9.83354;3983.07;6.02004;0;0;0.1;0.01;0;3.40842;0;400;-1
960;45;-40.6656;48.4676;-86.7027;10.1741;4411.46;6.21326;0;0;0.1;0.01;0;5.75793;0;244;-1
960;46;-50.7086;59.7792;-79.5167;9.74438;3875.71;5.99482;0;0;0.1;0.01;0;4.82684;0;560;-1
960;47;-41.2679;-63.8279;-88.2126;9.92744;4098.27;6.07681;0;0;0.1;0.01;0;4.79766;0;0;-1
960;48;-38.0522;-52.68;-101.391;9.58004;3682.9;5.88593;0;0;0.1;0.01;0;3.10497;0;596;-1
960;2232;5.77022;43.3007;17.8447;8.19311;2303.75;4.96722;0;0;0.1;0.01;0;6.92581;1;0;-1
960;2271;44.815;68.2987;74.9142;8.13825;2257.78;4.94905;0;0;0.1;0.01;0;4.94178;1;0;-1
