Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
0;0;-51.3188;-4.61205;-83.4214;8.5;2572.44;5.11093;0;0;0.1;0.01;0;2.6452;1;0;-1
0;1;-37.4346;-33.3437;-84.684;9.8791;4038.69;5.94016;0;0;0.1;0.01;0;2.67526;0;0;-1
0;2;-37.6567;-13.8275;-86.4803;8.5;2572.44;5.11093;0;0;0.1;0.01;0;2.65309;1;0;-1
0;3;-38.5085;0.469376;-85.5927;8.93259;2985.53;5.37104;0;0;0.1;0.01;0;2.49637;0;0;-1
0;4;-35.4903;20.6051;-84.3353;10.0373;4235.84;6.03528;0;0;0.1;0.01;0;3.0546;0;0;-1
0;5;-21.7999;-40.6284;-87.2564;9.31441;3384.97;5.60062;0;0;0.1;0.01;0;2.8087;0;0;-1
0;6;-20.5442;-22.4;-85.925;8.72424;2781.45;5.24576;0;0;0.1;0.01;0;4.24159;0;0;-1
0;7;-21.0334;-8.417;-84.5108;8.68751;2746.47;5.22367;0;0;0.1;0.01;0;4.10706;0;0;-1
0;8;-20.3056;10.7185;-85.9737;8.9461;2999.09;5.37916;0;0;0.1;0.01;0;3.39511;0;0;-1
0;9;-22.2994;28.759;-84.0033;9.1147;3171.87;5.48054;0;0;0.1;0.01;0;3.81373;0;0;-1
0;10;-8.84486;-49.3335;-83.4176;10.3831;4688.89;6.24321;0;0;0.1;0.01;0;3.60863;0;0;-1
0;11;-7.09366;-30.7498;-87.167;9.25676;3322.5;5.56596;0;0;0.1;0.01;0;4.75272;0;0;-1
0;12;-6.80595;-16.6174;-86.2516;8.92614;2979.06;5.36716;0;0;0.1;0.01;0;5.07856;0;0;-1
0;13;-6.59282;0.142286;-85.514;10.1914;4433.94;6.12794;0;0;0.1;0.01;0;5.01988;0;0;-1
0;14;-7.5657;20.0316;-83.7602;10.1998;4444.92;6.13299;0;0;0.1;0.01;0;5.00665;0;0;-1
0;15;-7.67925;38.2932;-83.9307;9.71243;3837.71;5.83994;0;0;0.1;0.01;0;3.32077;0;0;-1
0;16;7.44471;-40.8713;-85.9529;10.0896;4302.4;6.06673;0;0;0.1;0.01;0;4.84704;0;0;-1
0;17;6.40388;-24.2356;-83.4863;10.0954;4309.82;6.07022;0;0;0.1;0.01;0;6.03754;0;0;-1
0;18;8.72471;-6.01972;-85.835;8.76963;2825.09;5.27305;0;0;0.1;0.01;0;3.89433;0;0;-1
0;19;6.47805;10.935;-86.7538;8.73724;2793.9;5.25358;0;0;0.1;0.01;0;2.66908;0;0;-1
0;20;7.75313;27.7526;-87.3889;8.84193;2895.54;5.31652;0;0;0.1;0.01;0;3.18439;0;0;-1
0;21;8.87714;45.3847;-83.5809;10.2972;4573.47;6.19156;0;0;0.1;0.01;0;3.80114;0;0;-1
0;22;20.2424;-49.1546;-84.4968;9.44966;3534.57;5.68194;0;0;0.1;0.01;0;3.23438;0;0;-1
0;23;23.3387;-34.0355;-86.664;10.0918;4305.21;6.06805;0;0;0.1;0.01;0;5.12263;0;0;-1
0;24;20.6078;-15.7213;-84.9675;8.5;2572.44;5.11093;0;0;0.1;0.01;0;3.28093;1;0;-1
0;25;22.4769;3.45115;-86.8668;8.58914;2654.22;5.16453;0;0;0.1;0.01;0;3.59145;0;0;-1
0;26;23.6303;20.3961;-84.4862;8.88816;2941.2;5.34432;0;0;0.1;0.01;0;4.47667;0;0;-1
0;27;23.5485;37.7404;-84.8617;9.8457;3997.87;5.92008;0;0;0.1;0.01;0;3.69379;0;0;-1
0;28;36.3553;-40.1936;-83.6451;9.99562;4183.29;6.01022;0;0;0.1;0.01;0;3.76932;0;0;-1
0;29;35.473;-25.5445;-86.1232;8.5;2572.44;5.11093;0;0;0.1;0.01;0;3.01514;1;0;-1
0;30;37.2095;-5.59612;-85.2983;10.2046;4451.19;6.13588;0;0;0.1;0.01;0;2.53043;0;0;-1
0;31;36.5579;10.858;-83.9719;10.2277;4481.49;6.14977;0;0;0.1;0.01;0;3.93889;0;0;-1
0;32;37.5885;26.9802;-83.9279;10.0868;4298.82;6.06505;0;0;0.1;0.01;0;4.35868;0;0;-1
0;33;-70.5273;-14.7634;-69.3751;9.3986;3477.59;5.65124;0;0;0.1;0.01;0;2.28092;0;0;-1
0;34;-57.8106;-39.4495;-71.3444;9.97762;4160.73;5.9994;0;0;0.1;0.01;0;3.10623;0;0;-1
0;35;-56.6669;-25.1907;-72.4944;9.30194;3371.39;5.59312;0;0;0.1;0.01;0;3.99594;0;0;-1
0;36;-54.764;-8.89421;-70.8532;8.5;2572.44;5.11093;0;0;0.1;0.01;0;4.50353;1;0;-1
0;37;-56.293;9.85427;-69.7927;10.3383;4628.45;6.21627;0;0;0.1;0.01;0;3.50772;0;0;-1
0;38;-57.7887;28.475;-71.5058;8.5;2572.44;5.11093;0;0;0.1;0.01;0;2.15617;1;0;-1
