Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
480;0;-51.7651;-6.1586;-95.6045;10.0499;4251.86;6.14083;0;0;0.1;0.01;0;1.96896;0;0;-1
480;1;-42.326;-29.9824;-104.885;8.87801;2931.13;5.45934;0;0;0.1;0.01;0;1.32981;0;0;-1
480;2;-34.4905;-15.9668;-99.3878;10.1193;4340.47;6.16159;0;0;0.1;0.01;0;3.53397;0;0;-1
480;3;-36.6468;1.78853;-90.3872;10.2731;4541.43;6.23131;0;0;0.1;0.01;0;4.85398;0;0;-1
480;4;-36.791;32.8748;-99.0678;9.35532;3429.77;5.75418;0;0;0.1;0.01;0;2.45757;0;0;-1
480;5;-13.3329;-50.3369;-101.931;8.19951;2309.15;4.96681;0;0;0.1;0.01;0;2.10978;1;0;-1
480;6;-22.547;-27.9227;-93.2127;10.2329;4488.27;6.22249;0;0;0.1;0.01;0;4.9771;0;0;-1
480;7;-23.5822;-10.8097;-85.9576;10.2217;4473.65;6.21373;0;0;0.1;0.01;0;6.9772;0;0;-1
480;8;-25.1081;13.3611;-88.3218;8.15703;2273.44;4.94721;0;0;0.1;0.01;0;5.094;1;0;-1
480;9;-22.983;25.6543;-103.371;8.17692;2290.12;4.9524;0;0;0.1;0.01;0;1.94614;1;0;-1
480;10;-3.8006;-49.0556;-88.981;9.98981;4176;6.10613;0;0;0.1;0.01;0;5.75592;0;0;-1
480;11;-1.74117;-30.3693;-91.4392;8.18523;2297.11;4.96027;0;0;0.1;0.01;0;4.76529;1;0;-1
480;12;-6.70406;-15.6848;-93.8896;10.2692;4536.31;6.24294;0;0;0.1;0.01;0;4.99649;0;0;-1
480;13;-0.270288;0.155913;-87.8343;9.5594;3659.15;5.88093;0;0;0.1;0.01;0;6.34279;0;0;-1
480;14;-10.9335;15.5418;-97.3774;9.66549;3782.34;5.92703;0;0;0.1;0.01;0;3.87982;0;0;-1
480;15;-1.79281;47.5346;-98.1132;8.68161;2740.88;5.32236;0;0;0.1;0.01;0;2.73008;0;0;-1
480;16;10.6047;-43.5246;-82.3695;9.39167;3469.9;5.75775;0;0;0.1;0.01;0;5.31081;0;0;-1
480;17;2.45186;-26.8962;-107.286;9.43305;3515.97;5.82325;0;0;0.1;0.01;0;2.21384;0;0;-1
480;18;14.0533;-9.43404;-90.4867;10.2413;4499.45;6.23036;0;0;0.1;0.01;0;5.44843;0;0;-1
480;19;5.42587;16.9137;-91.1162;10.2359;4492.24;6.23374;0;0;0.1;0.01;0;5.52738;0;0;-1
480;20;16.2464;29.0406;-96.671;10.2574;4520.58;6.23834;0;0;0.1;0.01;0;3.37195;0;0;-1
480;21;11.7804;42.9773;-106.491;10.0014;4190.56;6.09481;0;0;0.1;0.01;0;2.49383;0;0;-1
480;22;23.0517;-59.9037;-91.8745;8.21089;2318.78;4.97654;0;0;0.1;0.01;0;2.62848;1;0;-1
480;23;21.9329;-44.1692;-93.6771;9.4112;3491.6;5.79812;0;0;0.1;0.01;0;5.43809;0;0;-1
480;24;27.5018;-20.087;-88.552;10.188;4429.55;6.1998;0;0;0.1;0.01;0;7.17115;0;0;-1
480;25;21.5095;7.94096;-95.8681;10.2093;4457.39;6.21459;0;0;0.1;0.01;0;4.15995;0;0;-1
480;26;30.9965;22.0728;-90.5412;10.2617;4526.32;6.23735;0;0;0.1;0.01;0;6.32929;0;0;-1
480;27;22.8153;51.8189;-97.089;8.86142;2914.73;5.44073;0;0;0.1;0.01;0;2.58989;0;0;-1
480;28;36.1048;-51.8133;-93.7565;9.25927;3325.21;5.69206;0;0;0.1;0.01;0;3.7796;0;0;-1
480;29;43.3945;-27.0411;-86.5576;10.1077;4325.65;6.15267;0;0;0.1;0.01;0;6.60004;0;0;-1
480;30;43.7883;-10.0903;-89.8498;9.77424;3911.45;5.99313;0;0;0.1;0.01;0;5.18811;0;0;-1
480;31;47.9325;21.1002;-95.654;9.88978;4051.81;6.06823;0;0;0.1;0.01;0;3.16383;0;0;-1
480;32;56.536;35.3999;-96.5849;9.46061;3546.88;5.81403;0;0;0.1;0.01;0;2.67548;0;0;-1
480;33;-83.2708;-8.01276;-73.9002;8.21841;2325.15;4.97312;0;0;0.1;0.01;0;2.02493;1;0;-1
480;34;-74.3703;-50.8089;-70.7149;9.11802;3175.34;5.59862;0;0;0.1;0.01;0;1.96621;0;0;-1
480;35;-64.0501;-22.2004;-70.5895;8.20249;2311.67;4.96333;0;0;0.1;0.01;0;4.78966;1;0;-1
480;36;-58.2365;-10.6054;-80.0101;10.0779;4287.43;6.16208;0;0;0.1;0.01;0;4.78783;0;0;-1
480;37;-61.9381;4.53633;-71.4634;9.9876;4173.23;6.10295;0;0;0.1;0.01;0;6.82826;0;0;-1
480;38;-62.2799;42.3192;-69.9625;10.1846;4425.1;6.21318;0;0;0.1;0.01;0;4.85642;0;0;-1
480;39;-52.7978;55.5205;-73.6084;8.25688;2357.96;5.00397;0;0;0.1;0.01;0;5.3127;0;0;-1
480;40;-46.8512;-53.5719;-72.9397;10.2842;4556.14;6.23746;0;0;0.1;0.01;0;4.53709;0;0;-1
480;41;-51.7955;-24.7804;-80.3369;8.2271;2332.54;4.98398;0;0;0.1;0.01;0;4.70161;0;0;-1
480;42;-41.1157;-13.528;-83.7827;10.029;4225.36;6.10967;0;0;0.1;0.01;0;7.29787;0;0;-1
480;43;-45.6971;-1.22925;-73.5947;10.0953;4309.74;6.13226;0;0;0.1;0.01;0;7.23432;0;0;-1
480;44;-51.6529;14.4974;-81.164;10.1818;4421.41;6.19161;0;0;0.1;0.01;0;4.84013;0;0;-1
480;45;-44.2151;45.795;-81.5683;8.31266;2406.07;5.05649;0;0;0.1;0.01;0;3.97942;0;0;-1
480;46;-38.079;60.6973;-80.0036;10.1298;4354.07;6.17758;0;0;0.1;0.01;0;4.23951;0;0;-1
480;47;-31.8385;-63.538;-74.4298;10.2163;4466.58;6.2112;0;0;0.1;0.01;0;4.27191;0;0;-1
480;48;-32.072;-40.9206;-82.9551;10.0183;4211.83;6.12044;0;0;0.1;0.01;0;5.6429;0;0;-1
480;49;-29.8131;-24.603;-78.107;10.2502;4511.18;6.23417;0;0;0.1;0.01;0;7.86799;0;0;-1
480;50;-30.2112;-8.25085;-69.5781;10.1217;4343.64;6.16372;0;0;0.1;0.01;0;7.47714;0;0;-1
480;51;-36.9538;11.5427;-78.0929;8.20576;2314.43;4.96706;0;0;0.1;0.01;0;6.25639;1;0;-1
480;52;-34.7879;36.4937;-73.2866;9.20303;3264.98;5.64317;0;0;0.1;0.01;0;5.61059;0;0;-1
480;53;-31.9864;41.7196;-87.848;8.2031;2312.19;4.97112;0;0;0.1;0.01;0;3.89092;1;0;-1
480;54;-32.9762;73.6547;-71.0007;8.76941;2824.88;5.39166;0;0;0.1;0.01;0;4.52674;0;0;-1
